,u,i,ts,label,idx
226,71,45,1296096769.0,2,227
227,71,77,1296163311.0,1,228
228,71,75,1296163345.0,2,229
229,71,43,1296163403.0,4,230
230,43,71,1296164245.0,4,231
231,69,21,1296229412.0,1,232
232,21,69,1296229421.0,1,233
233,1,72,1296291457.0,2,234
234,72,21,1296291483.0,1,235
235,1,14,1296291724.0,1,236
236,21,72,1296291879.0,1,237
237,24,5,1296512060.0,1,238
238,2,73,1296512103.0,1,239
239,73,2,1296513384.0,10,240
240,63,2,1296513427.0,3,241
241,63,5,1296528583.0,4,242
242,5,63,1296528669.0,2,243
243,5,24,1296528718.0,1,244
244,5,74,1296553673.0,1,245
245,74,5,1296553682.0,1,246
246,22,68,1296579083.0,1,247
247,68,22,1296579093.0,1,248
248,68,51,1296580101.0,1,249
249,51,68,1296580128.0,1,250
250,43,34,1296595303.0,2,251
251,75,77,1296601381.0,3,252
252,73,79,1296608631.0,10,253
253,73,4818,1296609273.0,1,254
254,2,6,1296629344.0,8,255
255,2,41,1296631215.0,2,256
256,41,2,1296631324.0,2,257
257,2,22,1296657671.0,6,258
258,29,78,1296682613.0,1,259
259,76,5,1296688733.0,2,260
260,5,76,1296688773.0,2,261
261,29,4,1296690714.0,2,262
262,4,29,1296690765.0,2,263
263,77,21,1296754197.0,3,264
264,77,58,1296754336.0,1,265
265,77,1,1296754391.0,3,266
266,77,2,1296754396.0,3,267
267,77,22,1296754414.0,1,268
268,77,38,1296754436.0,3,269
269,77,75,1296754444.0,3,270
270,77,71,1296754512.0,1,271
271,77,4820,1296754599.0,1,272
272,77,32,1296754645.0,3,273
273,78,29,1296758780.0,1,274
274,29,6,1296769471.0,2,275
275,6,29,1296769494.0,2,276
276,79,73,1296772979.0,10,277
277,79,80,1296773130.0,1,278
278,80,79,1296774360.0,2,279
279,5,81,1296792124.0,1,280
280,81,5,1296792360.0,1,281
281,82,30,1296837863.0,1,282
282,30,45,1296868253.0,1,283
283,45,30,1296868317.0,1,284
284,44,86,1296870068.0,1,285
285,83,84,1296884305.0,2,286
286,84,83,1296884645.0,2,287
287,29,5,1296913225.0,6,288
288,5,29,1296913558.0,5,289
289,83,22,1296927382.0,2,290
290,83,85,1296927424.0,2,291
291,85,83,1296927624.0,2,292
292,42,17,1297093748.0,2,293
293,17,42,1297093804.0,2,294
294,6,80,1297102509.0,2,295
295,80,6,1297102585.0,2,296
296,57,58,1297187359.0,4,297
297,86,44,1297197836.0,1,298
298,86,30,1297197844.0,1,299
299,80,38,1297206555.0,1,300
300,38,80,1297207241.0,1,301
301,70,2,1297291838.0,1,302
302,80,87,1297301158.0,1,303
303,87,80,1297301164.0,1,304
304,80,63,1297308205.0,1,305
305,63,80,1297308356.0,1,306
306,30,88,1297315440.0,1,307
307,58,57,1297359911.0,3,308
308,88,30,1297367601.0,1,309
309,5,88,1297370442.0,1,310
310,88,5,1297371118.0,1,311
311,2,89,1297373817.0,1,312
312,89,2,1297374205.0,1,313
313,80,89,1297378806.0,1,314
314,89,80,1297378871.0,1,315
315,63,70,1297385761.0,1,316
316,70,63,1297385923.0,1,317
317,63,45,1297386367.0,1,318
318,45,63,1297386418.0,1,319
319,30,90,1297461521.0,1,320
320,90,30,1297462874.0,1,321
321,5,43,1297467512.0,5,322
322,43,63,1297479765.0,2,323
323,5,91,1297482206.0,2,324
324,91,87,1297489410.0,5,325
325,87,91,1297494046.0,5,326
326,91,5,1297494087.0,3,327
327,80,7,1297533099.0,5,328
328,92,80,1297533751.0,1,329
329,80,92,1297534218.0,1,330
330,42,80,1297550943.0,3,331
331,6,4815,1297570107.0,8,332
332,80,93,1297621910.0,1,333
333,93,80,1297626301.0,1,334
334,86,93,1297626585.0,1,335
335,2,86,1297627293.0,1,336
336,86,2,1297627349.0,1,337
337,93,86,1297628388.0,1,338
338,86,41,1297644401.0,2,339
339,6,93,1297647974.0,1,340
340,93,6,1297647980.0,1,341
341,86,94,1297652994.0,1,342
342,94,86,1297653023.0,1,343
343,95,80,1297686545.0,1,344
344,86,87,1297722488.0,1,345
345,87,86,1297723091.0,1,346
346,80,96,1297734450.0,1,347
347,96,80,1297734460.0,1,348
348,2,97,1297789864.0,1,349
349,97,2,1297789936.0,1,350
350,98,6,1297807903.0,1,351
351,43,103,1297809192.0,1,352
352,30,99,1297812539.0,1,353
353,99,30,1297812615.0,1,354
354,22,83,1297815737.0,4,355
355,7,80,1297824885.0,2,356
356,100,47,1297844415.0,2,357
357,42,101,1297866186.0,1,358
358,101,102,1297866223.0,1,359
359,102,101,1297866274.0,1,360
360,80,95,1297872866.0,1,361
361,6,86,1297878331.0,1,362
362,86,6,1297878339.0,1,363
363,86,96,1297878361.0,1,364
364,96,86,1297878526.0,1,365
365,30,103,1297882011.0,1,366
366,103,30,1297882595.0,1,367
367,80,104,1297886091.0,1,368
368,51,110,1297893560.0,2,369
369,47,100,1297907214.0,3,370
370,104,105,1297908772.0,1,371
371,105,104,1297908772.0,2,372
372,104,95,1297908985.0,1,373
373,86,107,1297910665.0,1,374
374,80,106,1297911998.0,4,375
375,106,80,1297912087.0,4,376
376,80,83,1297915803.0,3,377
377,83,80,1297915880.0,3,378
378,107,86,1297915937.0,1,379
379,30,108,1297959915.0,1,380
380,108,30,1297961344.0,1,381
381,101,80,1297976227.0,1,382
382,80,101,1297976242.0,1,383
383,83,109,1297976422.0,1,384
384,109,83,1297976428.0,2,385
385,34,5,1297980365.0,3,386
386,5,34,1297980494.0,3,387
387,30,80,1298044125.0,1,388
388,110,51,1298047000.0,2,389
389,80,30,1298054259.0,1,390
390,72,2,1298056076.0,2,391
391,2,72,1298061894.0,2,392
392,2,70,1298062294.0,2,393
393,43,111,1298072060.0,1,394
394,111,43,1298072082.0,1,395
395,72,101,1298128068.0,1,396
396,101,72,1298130582.0,1,397
397,72,98,1298146050.0,1,398
398,42,98,1298146920.0,1,399
399,98,42,1298147262.0,1,400
400,74,42,1298147284.0,1,401
401,80,42,1298147302.0,3,402
402,98,72,1298147390.0,1,403
403,72,7,1298169867.0,1,404
404,5,112,1298169939.0,3,405
405,112,5,1298169950.0,3,406
406,7,72,1298176197.0,1,407
407,80,51,1298252030.0,1,408
408,51,80,1298252037.0,1,409
409,80,108,1298265265.0,2,410
410,108,80,1298265838.0,2,411
411,2,5,1298267256.0,9,412
412,5,2,1298267346.0,7,413
413,80,113,1298311685.0,1,414
414,113,80,1298311860.0,1,415
415,30,114,1298314077.0,1,416
416,114,30,1298314094.0,1,417
417,30,113,1298315498.0,1,418
418,113,30,1298315517.0,1,419
419,6,101,1298346435.0,1,420
420,101,6,1298346450.0,1,421
421,95,30,1298399915.0,2,422
422,94,47,1298431339.0,1,423
423,94,64,1298431428.0,1,424
424,64,94,1298431544.0,1,425
425,2,115,1298487310.0,1,426
426,115,2,1298487318.0,1,427
427,104,116,1298513463.0,1,428
428,116,104,1298513681.0,1,429
429,6,116,1298520616.0,1,430
430,116,6,1298520694.0,1,431
431,86,51,1298577705.0,1,432
432,30,117,1298584879.0,1,433
433,117,30,1298584914.0,1,434
434,30,118,1298589590.0,1,435
435,118,30,1298589707.0,1,436
436,80,119,1298611412.0,2,437
437,119,80,1298611459.0,2,438
438,47,101,1298623979.0,1,439
439,93,120,1298645238.0,1,440
440,120,93,1298645445.0,1,441
441,27,121,1298646564.0,2,442
442,121,27,1298647570.0,2,443
443,45,116,1298653534.0,1,444
444,116,45,1298653560.0,1,445
445,83,116,1298654517.0,1,446
446,116,83,1298654518.0,1,447
447,43,51,1298654790.0,2,448
448,43,123,1298657430.0,1,449
449,45,4815,1298665050.0,1,450
450,83,122,1298665395.0,2,451
451,122,83,1298667152.0,1,452
452,30,129,1298667648.0,1,453
453,123,43,1298667688.0,1,454
454,116,106,1298694080.0,2,455
455,106,116,1298694138.0,2,456
456,124,5,1298708157.0,2,457
457,27,136,1298740676.0,3,458
458,112,96,1298757245.0,1,459
459,96,112,1298757269.0,1,460
460,5,116,1298759550.0,1,461
461,112,125,1298778315.0,1,462
462,125,112,1298778361.0,1,463
463,101,78,1298795456.0,1,464
464,78,101,1298795469.0,1,465
465,96,126,1298843672.0,1,466
466,126,96,1298843684.0,1,467
467,95,2,1298844200.0,2,468
468,95,127,1298844210.0,1,469
469,127,95,1298844224.0,1,470
470,95,48,1298844292.0,2,471
471,48,95,1298844298.0,2,472
472,94,122,1298874598.0,1,473
473,101,122,1298874793.0,1,474
474,122,101,1298874964.0,1,475
475,122,94,1298875016.0,1,476
476,116,128,1298878913.0,1,477
477,128,116,1298878997.0,1,478
478,129,30,1298880775.0,1,479
479,101,47,1298898117.0,3,480
480,96,94,1298926935.0,1,481
481,94,96,1298927097.0,1,482
482,43,99,1298928761.0,2,483
483,99,43,1298928785.0,2,484
484,6,106,1298929715.0,1,485
485,106,6,1298929725.0,1,486
486,2,928,1298950354.0,6,487
487,80,130,1299031253.0,1,488
488,130,80,1299031290.0,1,489
489,85,130,1299032633.0,1,490
490,130,85,1299032672.0,1,491
491,80,131,1299034390.0,1,492
492,131,80,1299034411.0,1,493
493,85,94,1299038270.0,1,494
494,94,85,1299038485.0,1,495
495,99,132,1299041120.0,1,496
496,132,99,1299041134.0,1,497
497,96,130,1299041572.0,1,498
498,130,96,1299041644.0,1,499
499,130,133,1299043467.0,2,500
500,133,130,1299043552.0,2,501
501,94,133,1299044295.0,1,502
502,133,94,1299044403.0,1,503
503,93,45,1299085321.0,1,504
504,45,93,1299085332.0,1,505
505,134,5,1299087811.0,2,506
506,5,134,1299088214.0,2,507
507,64,5,1299088418.0,1,508
508,5,42,1299093649.0,1,509
509,42,5,1299093675.0,1,510
510,103,127,1299101381.0,1,511
511,127,103,1299103259.0,1,512
512,5,135,1299151908.0,1,513
513,135,5,1299152112.0,1,514
514,136,27,1299178293.0,1,515
515,133,137,1299204601.0,1,516
516,137,133,1299204728.0,1,517
517,85,138,1299204954.0,1,518
518,138,85,1299205271.0,1,519
519,139,5,1299206112.0,2,520
520,5,139,1299206120.0,2,521
521,42,96,1299275608.0,3,522
522,5,140,1299283600.0,1,523
523,140,5,1299283609.0,1,524
524,51,141,1299289950.0,2,525
525,141,51,1299290476.0,2,526
526,51,142,1299304119.0,1,527
527,142,51,1299304160.0,1,528
528,51,86,1299436669.0,2,529
529,51,143,1299438046.0,1,530
530,143,51,1299438055.0,1,531
531,51,83,1299446922.0,1,532
532,83,51,1299446966.0,1,533
533,1,122,1299448000.0,3,534
534,86,5,1299490927.0,1,535
535,51,121,1299521853.0,1,536
536,121,51,1299526904.0,1,537
537,94,144,1299530755.0,1,538
538,144,94,1299530790.0,1,539
539,43,131,1299531272.0,2,540
540,131,43,1299531325.0,2,541
541,6,2,1299556897.0,8,542
542,44,4818,1299557058.0,2,543
543,43,126,1299612558.0,2,544
544,5,16,1299679074.0,2,545
545,43,145,1299680713.0,1,546
546,145,43,1299690392.0,1,547
547,43,146,1299695065.0,1,548
548,146,126,1299695092.0,1,549
549,146,43,1299695194.0,1,550
550,126,146,1299696031.0,1,551
551,5,147,1299732938.0,1,552
552,147,5,1299732960.0,1,553
553,12,43,1299735275.0,2,554
554,48,148,1299758045.0,1,555
555,148,48,1299758069.0,1,556
556,43,12,1299767299.0,2,557
557,43,143,1299770717.0,4,558
558,5,106,1299912911.0,1,559
559,106,5,1299912917.0,1,560
560,43,151,1299950086.0,1,561
561,43,149,1299985463.0,1,562
562,149,43,1299985655.0,1,563
563,5,150,1300015562.0,2,564
564,150,5,1300015952.0,2,565
565,80,151,1300042937.0,2,566
566,151,80,1300043118.0,1,567
567,16,5,1300184212.0,2,568
568,146,152,1300209236.0,1,569
569,152,146,1300211126.0,1,570
570,63,153,1300226424.0,1,571
571,153,63,1300226821.0,1,572
572,93,154,1300231849.0,1,573
573,154,93,1300232683.0,1,574
574,5,185,1300232689.0,1,575
575,93,43,1300233490.0,1,576
576,5,86,1300240397.0,3,577
577,43,4821,1300244368.0,1,578
578,155,152,1300261803.0,1,579
579,152,155,1300262139.0,1,580
580,156,5,1300292103.0,2,581
581,150,48,1300330195.0,1,582
582,43,95,1300332304.0,3,583
583,95,43,1300332465.0,3,584
584,95,5,1300333013.0,3,585
585,43,166,1300402382.0,3,586
586,5,157,1300411885.0,1,587
587,157,5,1300414646.0,1,588
588,93,94,1300459755.0,2,589
589,94,93,1300459769.0,2,590
590,43,93,1300473495.0,1,591
591,5,155,1300568051.0,2,592
592,101,166,1300652886.0,1,593
593,158,5,1300708855.0,5,594
594,5,156,1300720137.0,3,595
595,5,57,1300745124.0,1,596
596,51,127,1300756036.0,-1,597
597,150,127,1300756138.0,-1,598
598,101,127,1300756262.0,-1,599
599,57,5,1300789107.0,2,600
600,34,43,1300815963.0,2,601
601,153,159,1300839353.0,1,602
602,150,4,1300839891.0,1,603
603,4,150,1300839914.0,1,604
604,159,153,1300844813.0,1,605
605,51,101,1300847914.0,1,606
606,101,51,1300848459.0,1,607
607,51,43,1300857386.0,3,608
608,101,48,1300864405.0,1,609
609,117,159,1300869246.0,1,610
610,155,5,1300922188.0,2,611
611,153,160,1300928214.0,1,612
612,160,153,1300928241.0,1,613
613,160,166,1300931572.0,1,614
614,43,160,1300933559.0,4,615
615,160,43,1300933628.0,4,616
616,62,87,1300933842.0,1,617
617,43,161,1300933941.0,2,618
618,161,43,1300934003.0,2,619
619,87,62,1300934773.0,1,620
620,160,5,1300936617.0,1,621
621,160,80,1300936648.0,1,622
622,160,12,1300937005.0,1,623
623,94,110,1300997415.0,1,624
624,110,94,1300998239.0,2,625
625,16,86,1301003730.0,2,626
626,85,163,1301005357.0,1,627
627,94,162,1301019704.0,1,628
628,162,94,1301019908.0,1,629
629,12,160,1301020983.0,1,630
630,5,160,1301023265.0,1,631
631,85,104,1301029977.0,1,632
632,5,127,1301032557.0,-1,633
633,21,101,1301053223.0,4,634
634,101,21,1301053275.0,4,635
635,163,164,1301084933.0,1,636
636,164,163,1301086321.0,1,637
637,129,71,1301089006.0,1,638
638,110,153,1301105775.0,1,639
639,12,158,1301142985.0,2,640
640,43,167,1301148833.0,2,641
641,43,165,1301149634.0,1,642
642,165,43,1301149695.0,1,643
643,166,160,1301167471.0,1,644
644,167,43,1301168075.0,2,645
645,167,4815,1301168216.0,5,646
646,85,127,1301193533.0,-1,647
647,136,168,1301235483.0,1,648
648,168,136,1301235509.0,1,649
649,168,86,1301235545.0,1,650
650,136,4822,1301245065.0,1,651
651,2,4823,1301329949.0,7,652
652,43,2,1301333078.0,7,653
653,43,5,1301333083.0,7,654
654,21,6,1301333303.0,8,655
655,153,136,1301339346.0,1,656
656,136,153,1301339497.0,1,657
657,43,234,1301341025.0,4,658
658,2,169,1301354601.0,1,659
659,169,2,1301354685.0,1,660
660,169,166,1301354726.0,1,661
661,12,2,1301365737.0,4,662
662,12,168,1301365872.0,1,663
663,168,12,1301366024.0,1,664
664,2,80,1301366233.0,1,665
665,2,170,1301369843.0,1,666
666,170,2,1301369929.0,1,667
667,43,190,1301439896.0,1,668
668,169,27,1301447178.0,1,669
669,43,163,1301453104.0,2,670
670,149,135,1301513674.0,1,671
671,135,149,1301514095.0,1,672
672,43,214,1301521483.0,1,673
673,43,171,1301522463.0,1,674
674,171,43,1301523090.0,1,675
675,5,173,1301569600.0,3,676
676,2,51,1301600149.0,1,677
677,51,2,1301600347.0,2,678
678,139,2,1301607874.0,8,679
679,48,101,1301613623.0,1,680
680,12,121,1301617654.0,1,681
681,155,172,1301618419.0,1,682
682,172,155,1301618445.0,1,683
683,173,5,1301630013.0,2,684
684,43,174,1301683979.0,3,685
685,174,43,1301684510.0,3,686
686,155,175,1301694943.0,1,687
687,175,155,1301695372.0,1,688
688,176,5,1301744133.0,5,689
689,177,5,1301774796.0,2,690
690,51,153,1301785229.0,3,691
691,153,51,1301785244.0,3,692
692,153,178,1301820796.0,1,693
693,178,153,1301821270.0,1,694
694,153,179,1301827089.0,1,695
695,179,153,1301827808.0,10,696
696,101,180,1301863197.0,1,697
697,180,101,1301863380.0,1,698
698,21,181,1301866634.0,1,699
699,181,45,1301866652.0,1,700
700,181,21,1301866658.0,1,701
701,153,85,1301897259.0,2,702
702,85,153,1301897279.0,2,703
703,6,5,1301898700.0,5,704
704,6,43,1301898705.0,5,705
705,6,48,1301898738.0,8,706
706,6,77,1301898760.0,2,707
707,5,6,1301899168.0,5,708
708,5,21,1301899174.0,5,709
709,5,30,1301899185.0,5,710
710,5,7,1301899227.0,5,711
711,5,65,1301899300.0,2,712
712,5,48,1301899327.0,6,713
713,174,48,1301901228.0,1,714
714,155,182,1301901460.0,1,715
715,182,155,1301901472.0,2,716
716,48,174,1301901475.0,1,717
717,171,183,1301936770.0,1,718
718,21,94,1301938973.0,2,719
719,94,21,1301939042.0,2,720
720,183,171,1301941162.0,1,721
721,43,184,1301945087.0,6,722
722,184,43,1301945157.0,6,723
723,85,6,1301972936.0,1,724
724,185,5,1301973638.0,1,725
725,2,45,1301975394.0,3,726
726,45,2,1301975616.0,3,727
727,153,186,1301998379.0,1,728
728,186,43,1301999041.0,2,729
729,153,34,1302005851.0,1,730
730,34,153,1302005904.0,1,731
731,187,43,1302011702.0,5,732
732,43,187,1302011717.0,5,733
733,185,64,1302012516.0,1,734
734,34,72,1302012679.0,1,735
735,101,64,1302016172.0,5,736
736,2,192,1302017978.0,1,737
737,183,64,1302025647.0,3,738
738,16,188,1302027411.0,1,739
739,188,16,1302027787.0,1,740
740,2,189,1302043778.0,1,741
741,189,2,1302043935.0,1,742
742,64,183,1302044440.0,3,743
743,64,45,1302044526.0,1,744
744,64,185,1302044550.0,1,745
745,64,101,1302044581.0,5,746
746,64,47,1302044652.0,8,747
747,190,43,1302055574.0,2,748
748,65,7,1302069958.0,1,749
749,16,191,1302082638.0,2,750
750,191,16,1302082712.0,2,751
751,186,192,1302096657.0,2,752
752,192,186,1302097036.0,2,753
753,192,193,1302103936.0,1,754
754,193,192,1302103959.0,1,755
755,43,198,1302107640.0,1,756
756,43,193,1302108245.0,3,757
757,193,43,1302108321.0,3,758
758,5,124,1302112512.0,2,759
759,116,155,1302117350.0,1,760
760,155,116,1302117447.0,1,761
761,43,186,1302121400.0,4,762
762,116,109,1302132473.0,1,763
763,162,194,1302136506.0,1,764
764,194,162,1302136666.0,1,765
765,43,195,1302203708.0,5,766
766,195,43,1302203836.0,6,767
767,43,196,1302204154.0,1,768
768,196,43,1302204188.0,1,769
769,197,56,1302212934.0,1,770
770,94,5,1302236704.0,5,771
771,5,94,1302236755.0,4,772
772,2,175,1302237680.0,1,773
773,175,2,1302237928.0,1,774
774,198,192,1302246463.0,1,775
775,192,198,1302246493.0,1,776
776,43,61,1302278539.0,2,777
777,61,43,1302279515.0,4,778
778,61,51,1302279761.0,3,779
779,51,61,1302287609.0,3,780
780,43,199,1302289160.0,1,781
781,199,43,1302289548.0,1,782
782,12,198,1302290506.0,2,783
783,116,5,1302290513.0,3,784
784,198,12,1302290517.0,2,785
785,198,43,1302292041.0,5,786
786,198,2,1302292045.0,5,787
787,198,153,1302292056.0,5,788
788,2,198,1302292174.0,2,789
789,187,114,1302292905.0,1,790
790,155,200,1302296394.0,1,791
791,200,155,1302296411.0,1,792
792,43,229,1302296669.0,10,793
793,1,201,1302322674.0,1,794
794,201,1,1302322871.0,1,795
795,45,168,1302323407.0,1,796
796,201,202,1302333277.0,1,797
797,202,201,1302335098.0,2,798
798,2,4824,1302449430.0,1,799
799,5,4824,1302449755.0,4,800
800,2,203,1302453500.0,1,801
801,203,2,1302454857.0,1,802
802,153,109,1302482453.0,1,803
803,200,110,1302495086.0,1,804
804,153,182,1302496979.0,2,805
805,182,153,1302496999.0,2,806
806,186,83,1302530478.0,1,807
807,186,72,1302534403.0,1,808
808,156,204,1302543866.0,1,809
809,204,156,1302543928.0,1,810
810,22,940,1302565808.0,2,811
811,43,4825,1302617059.0,4,812
812,43,205,1302617703.0,4,813
813,205,43,1302618615.0,4,814
814,101,206,1302639446.0,1,815
815,206,101,1302639466.0,1,816
816,16,207,1302639584.0,1,817
817,207,16,1302639594.0,1,818
818,153,91,1302641207.0,1,819
819,91,153,1302641237.0,1,820
